codigo_pozo,nombre_lugar,x,y,Fecha_muestreo,N-Amoniacal (mg/L),N-Nitritos (mg/L),N-Nitratos (mg/L),Alcalinidad Total (mg/L),Materia Organica (mg/L),Conductividad (uS/cm),pH,Bicarbonato (mg/L),Carbonato (mg/L),Sulfato (mg/L),Magnesio (mg/L),Calcio (mg/L),Sodio (mg/L),Potasio (mg/L),Cloruro (mg/L),Arsenico (mg/L),Mercurio (mg/L),Manganeso (mg/L),Cobre (mg/L),Cromo Total (mg/L),Coliformes Fecales (UFC/100 mL)
,ASUNCION,433876,7202567,,0.05,,,,,140,,,,,,,,,,,,,,,
,ASUNCION,434234,7201052,,0.05,,,,,40,,,,,,,,,,,,,,,
,ASUNCION,439774,7201240,,,,,,,294,,,,,,,,,,,,,,,
,LUQUE,445839,7205147,,,,,,,210,,,,,,,,,,,,,,,
,LUQUE,450563,7204504,,,,,,,43,5.7,,,,,,,,,,,,,,
,ASUNCION,442823,7201238,,,,,,,102,6,,,,,,,,,,,,,,
,SAN LORENZO,448163,7200463,,,,,,,75,,,,,,,,,,,,,,,
,FERNANDO DE LA MORA,445085,7201755,,,,,,,239,,,,,,,,,,,,,,,
,MARIANO ROQUE ALONSO,446220,7209707,,,,,,,62,,,,,,,,,,,,,,,
,LUQUE,447011,7202946,,,,,,,39,,,,,,,,,,,,,,,
,LUQUE,446860,7203217,,,,,,,61,,,,,,,,,,,,,,,
,ASUNCION,438742,7204212,,,,,,,238,,,,,,,,,,,,,,,
,ASUNCION,439834,7205775,,,,,,,221,,,,,,,,,,,,,,,
,CAPIATA,457349,7194032,,,,,,,89.7999999999999,5.6,,,,,,,,,,,,,,
,MARIANO ROQUE ALONSO,445601,7214141,,0.014,0.006,3.5,,,27.1,5.5,,,,,,,,,,,,,,
,MARIANO ROQUE ALONSO,445632,7214134,,0.936,0.009,13.1199999999999,,,66.2,5.7,,,,,,,,,,,,,,
,MARIANO ROQUE ALONSO,445551,7214023,,2.219,0.026,8.46,,,38,6.4,,,,,,,,,,,,,,
,LIMPIO,451750,7216347,,0.103,0.001,0.44,,,66.4,6.5,,,,,,,,,,,,,,
,LIMPIO,452411,7220339,,0.021,0.001,0.37,,,31.1,5.8,,,,,,,,,,,,,,
,LIMPIO,452804,7219792,,0.014,0.002,0.26,,,22.3,5.6,,,,,,,,,,,,,,
,LIMPIO,452263,7216482,,0.077,0.013,0.45,,,33,6.1,,,,,,,,,,,,,,
,LIMPIO,455214,7214898,,0.01,0.002,1.86,,,30.1999999999999,6.2,,,,,,,,,,,,,,
,LIMPIO,454474,7214602,,0.009,0.001,0.49,,,78.2999999999999,5.6,,,,,,,,,,,,,,
,VILLA ELISA,441510,7194182,,0.006,0.008,1.64,,,49,,,,,,,,,,,,,,,
,VILLA ELISA,441067,7194270,,0.01,0.001,0.9,,,59,,,,,,,,,,,,,,,
,VILLA ELISA,441006,7195840,,0.012,0.001,3.89,,,116,,,,,,,,,,,,,,,
,ÐEMBY,447428,7189210,,0.013,0.001,2.45,,,70,,,,,,,,,,,,,,,
,ÐEMBY,447028,7190275,,0.006,0.001,0.44,,,71,6.6,,,,,,,,,,,,,,
,ÐEMBY,446769,7190972,,0.009,0.001,0.5,,,47,6.6,,,,,,,,,,,,,,
,VILLA ELISA,442662,7195283,,0.006,0.001,11.24,,,378,6.1,,,,,,,,,,,,,,
,VILLA ELISA,442733,7195292,,0.005,0.004,4.2,,,317,,,,,,,,,,,,,,,
,ÐEMBY,442888,7193967,,0.159,0.213,13.16,,,85,,,,,,,,,,,,,,,
,LAMBARE,438120,7196567,,0.01,0.001,12.15,,,304,,,,,,,,,,,,,,,
,SAN ANTONIO,444460,7189218,,0.005,0.001,2.26,,,104.2,5.7,,,,,,,,,,,,,,
,SAN ANTONIO,444139,7190003,,0.004,0.001,2.01,,,62.8999999999999,6.1,,,,,,,,,,,,,,
,SAN ANTONIO,443651,7189266,,0.003,0.001,2.07,,,73.0999999999999,5.2,,,,,,,,,,,,,,
,SAN ANTONIO,443050,7188552,,0.005,0.006,0,,,46.2,5.8,,,,,,,,,,,,,,
,SAN ANTONIO,443241,7189673,,0.008,0.001,1.02,,,37.7999999999999,5.2,,,,,,,,,,,,,,
,SAN ANTONIO,442479,7190362,,0.009,0.001,0.45,,,51.5,5.2,,,,,,,,,,,,,,
,LUQUE,453514,7202401,,0.001,0.001,1.63,,,74.2,5.2,,,,,,,,,,,,,,
,LUQUE,451845,7201435,,0.001,0.001,1.41,,,55.6,5.2,,,,,,,,,,,,,,
,ASUNCION,438323,7201689,,0.013,0.183,19.68,,,711,6.7,,,,,,,,,,,,,,
,ASUNCION,435105,7195371,,0.044,0.034,0.08,,,77.7,6.9,,,,,,,,,,,,,,
,LAMBARE,437689,7195570,,0.013,0.004,7.38,,,180.4,5.3,,,,,,,,,,,,,,
,LIMPIO,455482,7213767,,0.009,0.006,2.07,,,96.4,5.2,,,,,,,,,,,,,,
,LIMPIO,452922,7211239,,0.006,0.002,2.26,,,431,5.5,,,,,,,,,,,,,,
,LUQUE,454625,7206400,,0.005,0.001,1.27,,,54.2,6.1,,,,,,,,,,,,,,
,LUQUE,455082,7208723,,0.004,0.001,1.82,,,181.4,6.6,,,,,,,,,,,,,,
,LUQUE,452361,7204068,,0.005,0.003,6.92,,,161.199999999999,5.2,,,,,,,,,,,,,,
,LUQUE,447747,7204392,,0.006,0.002,1.49,,,71.2999999999999,5.2,,,,,,,,,,,,,,
,CAPIATA,452001,7192610,,0.229,0.004,3.9,,,75,5,,,,,,,,,,,,,,
,CAPIATA,454845,7197186,,0.068,0.001,0.34,,,102,4.8,,,,,,,,,,,,,,
,CAPIATA,453100,7195100,,0.183,0.001,3.45,,,67,5,,,,,,,,,,,,,,
,FERNANDO DE LA MORA,446297,7199940,,0.022,0.001,0.12,,,120,5.1,,,,,,,,,,,,,,
,SAN LORENZO,447898,7194839,,0.027,0.001,3.91,,,121,4.8,,,,,,,,,,,,,,
,ASUNCION,435685,7205209,,0.116,0.006,0.35,,,26400,7.6,,,,,,,,,,,,,,
,LIMPIO,451502,7222969,,0.274,0.006,0.13,,,179.9,6.3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
